Position,ID,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,realAbbrev
TE,H.Miller,Heath Miller,2700,Pit@KC 01:00PM ET,6.967,Pit,PIT
TE,D.Allen,Dwayne Allen,2700,NO@Ind 01:00PM ET,4.775,Ind,IND
TE,C.Gragg,Chris Gragg,2700,Buf@Jax 09:30AM ET,4.3,Buf,BUF
DST,L.,Lions ,2600,Min@Det 01:00PM ET,7.167,Det,DET
DST,T.,Titans ,2600,Atl@Ten 01:00PM ET,6.8,Ten,TEN
DST,S.,Steelers ,2600,Pit@KC 01:00PM ET,8.833,Pit,PIT
DST,C.,Chargers ,2600,Oak@SD 04:05PM ET,4.333,SD,SD
DST,B.,Buccaneers ,2600,TB@Was 01:00PM ET,7,TB,TB
TE,M.Williams,Maxx Williams,2600,Bal@Ari 08:30PM ET,3.8,Bal,BAL
DST,C.,Cowboys ,2500,Dal@NYG 04:25PM ET,5,Dal,DAL
DST,R.,Redskins ,2500,TB@Was 01:00PM ET,8.167,Was,WAS
TE,M.Leach,Mike Leach,2500,Bal@Ari 08:30PM ET,0,Ari,ARI
TE,C.Stevens,Craig Stevens,2500,Atl@Ten 01:00PM ET,1.66,Ten,TEN
TE,M.Lewis,Marcedes Lewis,2500,Buf@Jax 09:30AM ET,1.8,Jax,JAC
TE,S.Chandler,Scott Chandler,2500,NYJ@NE 01:00PM ET,4.56,NE,NE
TE,M.Spaeth,Matt Spaeth,2500,Pit@KC 01:00PM ET,0,Pit,PIT
TE,A.Fasano,Anthony Fasano,2500,Atl@Ten 01:00PM ET,5.58,Ten,TEN
TE,B.Celek,Brent Celek,2500,Phi@Car 08:30PM ET,3.833,Phi,PHI
TE,B.Pettigrew,Brandon Pettigrew,2500,Min@Det 01:00PM ET,2.95,Det,DET
TE,K.Davis,Kellen Davis,2500,NYJ@NE 01:00PM ET,0,NYJ,NYJ
TE,B.Myers,Brandon Myers,2500,TB@Was 01:00PM ET,2.4,TB,TB
TE,D.Fells,Darren Fells,2500,Bal@Ari 08:30PM ET,5.933,Ari,ARI
TE,T.Moeaki,Tony Moeaki,2500,Atl@Ten 01:00PM ET,0,Atl,ATL
TE,D.Johnson,David Johnson,2500,Oak@SD 04:05PM ET,0.033,SD,SD
TE,C.Harbor,Clay Harbor,2500,Buf@Jax 09:30AM ET,3.4,Jax,JAC
TE,E.Dickson,Ed Dickson,2500,Phi@Car 08:30PM ET,3.86,Car,CAR
TE,C.Coffman,Chase Coffman,2500,Atl@Ten 01:00PM ET,8.2,Ten,TEN
TE,G.Graham,Garrett Graham,2500,Hou@Mia 01:00PM ET,2.167,Hou,HOU
TE,A.DePaola,Andrew DePaola,2500,TB@Was 01:00PM ET,0,TB,TB
TE,R.Brockel,Richie Brockel,2500,Phi@Car 08:30PM ET,0,Car,CAR
TE,A.McCoy,Anthony McCoy,2500,TB@Was 01:00PM ET,0,Was,WAS
TE,J.Dray,Jim Dray,2500,Cle@StL 01:00PM ET,0.667,Cle,CLE
TE,J.Phillips,John Phillips,2500,Oak@SD 04:05PM ET,2.433,SD,SD
TE,R.Housler,Rob Housler,2500,Cle@StL 01:00PM ET,0.267,Cle,CLE
RB,R.Bush,Reggie Bush,3500,Sea@SF 08:25PM ET,0.767,SF,SF
TE,M.Mulligan,Matthew Mulligan,2500,Buf@Jax 09:30AM ET,0.2,Buf,BUF
TE,L.Kendricks,Lance Kendricks,2500,Cle@StL 01:00PM ET,4.3,StL,STL
TE,J.Gresham,Jermaine Gresham,2500,Bal@Ari 08:30PM ET,1.683,Ari,ARI
TE,J.Cumberland,Jeff Cumberland,2500,NYJ@NE 01:00PM ET,0.75,NYJ,NYJ
TE,M.Hoomanawanui,Michael Hoomanawanui,2500,NO@Ind 01:00PM ET,0.35,NO,NO
TE,L.Smith,Lee Smith,2500,Oak@SD 04:05PM ET,1.36,Oak,OAK
TE,L.Stocker,Luke Stocker,2500,TB@Was 01:00PM ET,0,TB,TB
TE,R.Ellison,Rhett Ellison,2500,Min@Det 01:00PM ET,0.68,Min,MIN
RB,J.Hayne,Jarryd Hayne,3000,Sea@SF 08:25PM ET,0.533,SF,SF
TE,J.Hanna,James Hanna,2500,Dal@NYG 04:25PM ET,0.567,Dal,DAL
TE,J.Stoneburner,Jake Stoneburner,2500,Hou@Mia 01:00PM ET,5.425,Mia,MIA
TE,M.Rivera,Mychal Rivera,2500,Oak@SD 04:05PM ET,3.08,Oak,OAK
TE,C.Harkey,Cory Harkey,2500,Cle@StL 01:00PM ET,0.28,StL,STL
TE,B.Brinkley,Beau Brinkley,2500,Atl@Ten 01:00PM ET,0,Ten,TEN
TE,K.McDermott,Kevin McDermott,2500,Min@Det 01:00PM ET,0,Min,MIN
TE,T.Wright,Tim Wright,2500,Min@Det 01:00PM ET,3.7,Det,DET
TE,M.Williams,Michael Williams,2500,NYJ@NE 01:00PM ET,0.5,NE,NE
QB,T.Jackson,Tarvaris Jackson,5000,Sea@SF 08:25PM ET,0,Sea,SEA
TE,J.Hill,Josh Hill,2500,NO@Ind 01:00PM ET,3.183,NO,NO
TE,J.Winchester,James Winchester,2500,Pit@KC 01:00PM ET,0,KC,KC
TE,J.Doyle,Jack Doyle,2500,NO@Ind 01:00PM ET,1.65,Ind,IND
