"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Shaun Hill",5000,"Min@Det 01:00PM ET",0,"Min"
"QB","Matt Moore",5000,"Hou@Mia 01:00PM ET",0,"Mia"
"QB","Drew Stanton",5000,"Bal@Ari 08:30PM ET",-0.100,"Ari"
"TE","Antonio Gates",5000,"Oak@SD 04:05PM ET",24.350,"SD"
"QB","Matt Schaub",5000,"Bal@Ari 08:30PM ET",0,"Bal"
"QB","Luke McCown",5000,"NO@Ind 01:00PM ET",2.400,"NO"
"QB","Chad Henne",5000,"Buf@Jax 09:30AM ET",0,"Jax"
"QB","Josh Johnson",5000,"Buf@Jax 09:30AM ET",0,"Buf"
"QB","Joe Webb",5000,"Phi@Car 08:30PM ET",0.000,"Car"
"QB","Mark Sanchez",5000,"Phi@Car 08:30PM ET",0,"Phi"
"QB","Chase Daniel",5000,"Pit@KC 01:00PM ET",0,"KC"
"QB","Colt McCoy",5000,"TB@Was 01:00PM ET",0,"Was"
"QB","Colin Kaepernick",5000,"Sea@SF 08:25PM ET",17.993,"SF"
"QB","Thaddeus Lewis",5000,"Phi@Car 08:30PM ET",0,"Phi"
"QB","Case Keenum",5000,"Cle@StL 01:00PM ET",0,"StL"
"QB","Ryan Mallett",5000,"Hou@Mia 01:00PM ET",7.983,"Hou"
"QB","Kellen Moore",5000,"Dal@NYG 04:25PM ET",0,"Dal"
"QB","Brandon Weeden",5000,"Dal@NYG 04:25PM ET",9.640,"Dal"
"WR","Pierre Garcon",5000,"TB@Was 01:00PM ET",13.250,"Was"
"QB","Austin Davis",5000,"Cle@StL 01:00PM ET",0,"Cle"
"QB","Kirk Cousins",5000,"TB@Was 01:00PM ET",14.000,"Was"
"QB","Robert Griffin III",5000,"TB@Was 01:00PM ET",0,"Was"
"QB","Blaine Gabbert",5000,"Sea@SF 08:25PM ET",0,"SF"
"QB","Sean Renfree",5000,"Atl@Ten 01:00PM ET",-0.400,"Atl"
"QB","Mike Glennon",5000,"TB@Was 01:00PM ET",0,"TB"
"QB","Ryan Nassib",5000,"Dal@NYG 04:25PM ET",0,"NYG"
"QB","Ryan Griffin",5000,"TB@Was 01:00PM ET",0,"TB"
"QB","Matt McGloin",5000,"Oak@SD 04:05PM ET",11.680,"Oak"
"QB","Matt Barkley",5000,"Bal@Ari 08:30PM ET",0,"Ari"
"QB","Zach Mettenberger",5000,"Atl@Ten 01:00PM ET",1.210,"Ten"
"QB","Aaron Murray",5000,"Pit@KC 01:00PM ET",0,"KC"
"QB","Bryce Petty",5000,"NYJ@NE 01:00PM ET",0,"NYJ"
"QB","Geno Smith",5000,"NYJ@NE 01:00PM ET",0,"NYJ"
"QB","Garrett Grayson",5000,"NO@Ind 01:00PM ET",0,"NO"
"QB","Jimmy Garoppolo",5000,"NYJ@NE 01:00PM ET",-0.200,"NE"
